rusticate-download-rust-codebases
Started at: Instant { tv_sec: 61917, tv_nsec: 55522505 }
Settings:
  Input: analyses/top1100_unique_repos.txt
  Output: /home/milnes/projects/RustCodebases
  Jobs: 8
  Shallow: true
  GitHub only: true
  Skip existing: true
  Dry run: false
  Max repos: None
  Start at: 0

Loaded 1087 repositories

Cloning 1087 repositories with 8 parallel jobs...
[T1] ⊘ Skipped 249: gyscos/zstd-rs (already exists)
[T3] ⊘ Skipped 251: mozilla/cbindgen (already exists)
[T4] ⊘ Skipped 247: dtolnay/typeid (already exists)
[T2] ⊘ Skipped 252: serde-rs/bytes (already exists)
[T0] ⊘ Skipped 253: hyperium/http (already exists)
[T1] ⊘ Skipped 254: rust-num/num-rational (already exists)
[T3] ⊘ Skipped 255: yaahc/indenter (already exists)
[T4] ⊘ Skipped 256: achanda/ipnetwork (already exists)
[T2] ⊘ Skipped 257: plotters-rs/plotters (already exists)
[T0] ⊘ Skipped 258: crossbeam-rs/crossbeam (already exists)
[T2] ⊘ Skipped 262: alexcrichton/scoped-tls (already exists)
[T3] ⊘ Skipped 260: rusticata/asn1-rs (already exists)
[T4] ⊘ Skipped 261: rust-windowing/raw-window-handle (already exists)
[T1] ⊘ Skipped 259: hyperium/hyper-tls (already exists)
[T0] ⊘ Skipped 263: cryptocorrosion/cryptocorrosion (already exists)
[T2] ⊘ Skipped 264: zip-rs/zip2 (already exists)
[T3] ⊘ Skipped 265: paupino/rust-decimal (already exists)
[T2] ⊘ Skipped 269: alexcrichton/tar-rs (already exists)
[T4] ⊘ Skipped 266: michaelsproul/rust_radix_trie (already exists)
[T1] ⊘ Skipped 267: sunfishcode/is-terminal (already exists)
[T0] ⊘ Skipped 268: tokio-rs/tokio (already exists)
[T3] ⊘ Skipped 270: remram44/adler32-rs (already exists)
[T2] ⊘ Skipped 271: utkarshkukreti/diff.rs (already exists)
[T4] ⊘ Skipped 272: michaelsproul/rust_nibble_vec (already exists)
[T1] ⊘ Skipped 273: rustls/sct.rs (already exists)
[T0] ⊘ Skipped 274: hyperium/hyper (already exists)
[T3] ⊘ Skipped 275: bluss/rawpointer (already exists)
[T2] ⊘ Skipped 276: mackwic/colored (already exists)
[T4] ⊘ Skipped 277: assert-rs/assert_cmd (already exists)
[T1] ⊘ Skipped 278: seanmonstar/unicase (already exists)
[T0] ⊘ Skipped 279: smol-rs/fastrand (already exists)
[T3] ⊘ Skipped 280: Keruspe/async-global-executor (already exists)
[T2] ⊘ Skipped 281: dtolnay/path-to-error (already exists)
[T4] ⊘ Skipped 282: Lolirofle/endian-type (already exists)
[T2] ⊘ Skipped 286: eminence/terminal-size (already exists)
[T1] ⊘ Skipped 283: rust-lang/cargo (already exists)
[T0] ⊘ Skipped 284: Gilnaa/memoffset (already exists)
[T3] ⊘ Skipped 285: cameron1024/unarray (already exists)
[T4] ⊘ Skipped 287: RReverser/serde-wasm-bindgen (already exists)
[T3] ⊘ Skipped 291: djkoloski/rend (already exists)
[T4] ⊘ Skipped 292: RustCrypto/stream-ciphers (already exists)
[T3] ⊘ Skipped 293: davidpdrsn/assert-json-diff (already exists)
[T4] ⊘ Skipped 294: smol-rs/async-signal (already exists)
[T0] ⊘ Skipped 290: toml-rs/toml (already exists)
[T1] ⊘ Skipped 289: zakarumych/allocator-api2 (already exists)
[T3] ⊘ Skipped 295: async-rs/async-std (already exists)
[T1] ⊘ Skipped 298: sfackler/rust-native-tls (already exists)
[T3] ⊘ Skipped 299: image-rs/color_quant (already exists)
[T2] ⊘ Skipped 288: orlp/foldhash (already exists)
[T0] ⊘ Skipped 297: BurntSushi/byteorder (already exists)
[T4] ⊘ Skipped 296: harfbuzz/ttf-parser (already exists)
[T1] ⊘ Skipped 300: tailhook/quick-error (already exists)
[T3] ⊘ Skipped 301: rkyv/bytecheck (already exists)
[T2] ⊘ Skipped 302: dropbox/rust-alloc-no-stdlib (already exists)
[T0] ⊘ Skipped 303: tokio-rs/slab (already exists)
[T4] ⊘ Skipped 304: apache/datafusion-sqlparser-rs (already exists)
[T1] ⊘ Skipped 305: yaahc/displaydoc (already exists)
[T3] ⊘ Skipped 306: yoshuawuyts/kv-log-macro (already exists)
[T2] ⊘ Skipped 307: rust-num/num-derive (already exists)
[T0] ⊘ Skipped 308: rustls/rustls (already exists)
[T4] ⊘ Skipped 309: shssoichiro/sqlformat-rs (already exists)
[T0] ⊘ Skipped 313: fizyk20/generic-array (already exists)
[T4] ⊘ Skipped 314: murarth/assert_matches (already exists)
[T3] ⊘ Skipped 311: rusticata/rusticata-macros (already exists)
[T1] ⊘ Skipped 310: jhpratt/num-conv (already exists)
[T2] ⊘ Skipped 312: XAMPPRocky/remove_dir_all (already exists)
[T0] ⊘ Skipped 315: rust-lang/futures-rs (already exists)
[T4] ⊘ Skipped 316: Stranger6667/jsonschema (already exists)
[T4] ⊘ Skipped 321: apache/arrow-rs (already exists)
[T3] ⊘ Skipped 317: tikv/rust-prometheus (already exists)
[T1] ⊘ Skipped 318: servo/core-foundation-rs (already exists)
[T2] ⊘ Skipped 319: rust-pretty-assertions/rust-pretty-assertions (already exists)
[T0] ⊘ Skipped 320: hyperium/http-body (already exists)
[T4] ⊘ Skipped 322: dnsl48/fraction (already exists)
[T3] ⊘ Skipped 323: bojand/infer (already exists)
[T1] ⊘ Skipped 324: RustCrypto/formats (already exists)
[T2] ⊘ Skipped 325: enarx/ciborium (already exists)
[T1] ⊘ Skipped 329: BurntSushi/winapi-util (already exists)
[T2] ⊘ Skipped 330: smol-rs/async-task (already exists)
[T1] ⊘ Skipped 331: alexcrichton/filetime (already exists)
[T1] ⊘ Skipped 333: dtolnay/serde-yaml (already exists)
[T3] ⊘ Skipped 328: eyre-rs/eyre (already exists)
[T3] ⊘ Skipped 335: rust-lang/getopts (already exists)
[T3] ⊘ Skipped 336: HdrHistogram/HdrHistogram_rust (already exists)
[T0] ⊘ Skipped 326: tkaitchuck/ahash (already exists)
[T2] ⊘ Skipped 332: xdg-rs/dirs (already exists)
[T1] ⊘ Skipped 334: contain-rs/bit-vec (already exists)
[T3] ⊘ Skipped 337: zonyitoo/rust-ini (already exists)
[T3] ⊘ Skipped 341: rust-embedded-community/hash32 (already exists)
[T0] ⊘ Skipped 338: tokio-rs/tracing (already exists)
[T2] ⊘ Skipped 339: zesterer/flume (already exists)
[T0] ⊘ Skipped 343: RustCrypto/hashes (already exists)
[T1] ⊘ Skipped 340: ibraheemdev/matchit (already exists)
[T3] ⊘ Skipped 342: derekdreery/normalize-line-endings (already exists)
[T3] ⊘ Skipped 347: ihrwein/backoff (already exists)
[T2] ⊘ Skipped 344: dalek-cryptography/curve25519-dalek (already exists)
[T0] ⊘ Skipped 345: chronotope/chrono (already exists)
[T0] ⊘ Skipped 350: servo/rust-fnv (already exists)
[T1] ⊘ Skipped 346: rust-num/num-complex (already exists)
[T3] ⊘ Skipped 348: image-rs/image-gif (already exists)
[T3] ⊘ Skipped 353: bytecodealliance/wasm-tools (already exists)
[T4] ⊘ Skipped 327: mit-plv/fiat-crypto (already exists)
[T2] ⊘ Skipped 349: RustCrypto/RSA (already exists)
[T0] ⊘ Skipped 351: hyperium/h2 (already exists)
[T4] ⊘ Skipped 356: BurntSushi/quickcheck (already exists)
[T3] ⊘ Skipped 354: rust-cli/config-rs (already exists)
[T4] ⊘ Skipped 358: srijs/rust-tokio-retry (already exists)
[T2] ⊘ Skipped 355: briansmith/webpki (already exists)
[T4] ⊘ Skipped 360: magiclen/enum-ordinalize (already exists)
[T1] ⊘ Skipped 352: xacrimon/dashmap (already exists)
[T0] ⊘ Skipped 357: paholg/typenum (already exists)
[T3] ⊘ Skipped 359: BurntSushi/rust-snappy (already exists)
[T3] ⊘ Skipped 365: image-rs/fdeflate (already exists)
[T4] ⊘ Skipped 361: paritytech/nohash-hasher (already exists)
[T2] ⊘ Skipped 362: dtolnay/erased-serde (already exists)
[T2] ⊘ Skipped 367: async-rs/futures-timer (already exists)
[T1] ⊘ Skipped 363: smol-rs/async-channel (already exists)
[T3] ⊘ Skipped 366: smithy-lang/smithy-rs (already exists)
[T1] ⊘ Skipped 370: rust-num/num-iter (already exists)
[T4] ⊘ Skipped 368: slint-ui/document-features (already exists)
[T0] ⊘ Skipped 364: unicode-rs/unicode-width (already exists)
[T4] ⊘ Skipped 373: mneumann/errno-dragonfly-rs (already exists)
[T2] ⊘ Skipped 369: zkcrypto/ff (already exists)
[T4] ⊘ Skipped 375: rust-lang-nursery/failure (already exists)
[T1] ⊘ Skipped 372: hyperium/tonic (already exists)
[T0] ⊘ Skipped 374: Stebalien/tempfile (already exists)
[T1] ⊘ Skipped 378: danaugrs/overload (already exists)
[T0] ⊘ Skipped 379: rust-lang-nursery/pin-utils (already exists)
[T3] ⊘ Skipped 371: pyfisch/rust-language-tags (already exists)
[T4] ⊘ Skipped 377: rustwasm/console_error_panic_hook (already exists)
[T1] ⊘ Skipped 380: tafia/quick-xml (already exists)
[T0] ⊘ Skipped 381: uuid-rs/uuid (already exists)
[T1] ⊘ Skipped 384: polyfill-rs/is_terminal_polyfill (already exists)
[T3] ⊘ Skipped 382: tmiasko/shell-words (already exists)
[T4] ⊘ Skipped 383: d-e-s-o/test-log (already exists)
[T0] ⊘ Skipped 385: rust-lang/pkg-config-rs (already exists)
[T4] ⊘ Skipped 388: apache/arrow-rs-object-store (already exists)
[T0] ⊘ Skipped 389: nix-rust/nix (already exists)
[T4] ⊘ Skipped 390: eminence/procfs (already exists)
[T3] ⊘ Skipped 387: image-rs/weezl (already exists)
